,v,vw,o,c,h,l,t,n
0,23066.0,177.0611,177.5,177.56,177.85,175.4,1711958400000,997
1,9059.0,177.4742,177.5,177.24,177.75,177.24,1711958460000,204
2,1409.0,177.2666,177.26,177.26,177.26,177.26,1711958520000,91
3,4076.0,177.0074,177.0,176.93,177.0,176.85,1711958580000,240
4,4349.0,176.8905,176.83,176.91,176.92,176.83,1711958640000,104
5,4237.0,176.7643,176.8,176.85,176.85,176.62,1711958700000,112
6,2950.0,176.8189,176.85,176.7,176.9,176.7,1711958760000,133
7,7566.0,176.7744,176.75,176.8,176.8,176.66,1711958820000,87
8,882.0,176.8561,176.85,176.85,176.85,176.85,1711958880000,38
9,6645.0,177.0028,176.97,177.1,177.1,176.95,1711959000000,141
10,9709.0,177.2275,177.08,177.24,177.39,177.08,1711959060000,155
11,2159.0,177.2357,177.21,177.35,177.35,177.2,1711959120000,50
12,5422.0,177.4052,177.3,177.45,177.45,177.3,1711959180000,83
13,5903.0,177.4886,177.45,177.52,177.55,177.45,1711959240000,131
14,1795.0,177.436,177.45,177.45,177.45,177.4,1711959300000,44
15,1762.0,177.4033,177.4,177.35,177.4,177.35,1711959360000,63
16,3049.0,177.3628,177.4,177.36,177.4,177.33,1711959420000,56
17,1571.0,177.4042,177.39,177.39,177.39,177.39,1711959480000,56
18,2187.0,177.3953,177.39,177.44,177.44,177.39,1711959540000,44
19,1173.0,177.3988,177.4,177.39,177.4,177.39,1711959600000,42
20,1408.0,177.3997,177.39,177.43,177.43,177.39,1711959660000,33
21,2998.0,177.3416,177.38,177.3,177.38,177.3,1711959780000,101
22,2824.0,177.3009,177.36,177.3,177.36,177.3,1711959840000,47
23,762.0,177.1623,177.15,177.2,177.2,177.15,1711960020000,21
24,1442.0,177.2771,177.29,177.3,177.3,177.29,1711960080000,50
25,1305.0,177.3491,177.31,177.35,177.35,177.31,1711960140000,24
26,2310.0,177.3145,177.32,177.3,177.32,177.3,1711960200000,29
27,2294.0,177.315,177.39,177.3,177.39,177.3,1711960320000,37
28,827.0,177.308,177.3,177.3,177.3,177.3,1711960380000,21
29,3238.0,177.3715,177.3,177.38,177.4,177.3,1711960440000,63
30,657.0,177.3441,177.34,177.34,177.34,177.34,1711960560000,18
31,3183.0,177.3971,177.38,177.4,177.41,177.38,1711960620000,53
32,2142.0,177.4633,177.45,177.49,177.49,177.44,1711960680000,47
33,5639.0,177.5278,177.49,177.5,177.55,177.49,1711960740000,145
34,1344.0,177.4818,177.49,177.45,177.49,177.45,1711960800000,37
35,1954.0,177.4085,177.43,177.41,177.43,177.4,1711960860000,36
36,862.0,177.4442,177.43,177.45,177.45,177.43,1711960920000,21
37,365.0,177.4473,177.43,177.43,177.43,177.43,1711961100000,20
38,987.0,177.4072,177.43,177.4,177.43,177.4,1711961160000,33
39,2481.0,177.3495,177.4,177.31,177.4,177.31,1711961280000,77
40,1788.0,177.3408,177.3,177.38,177.38,177.3,1711961340000,51
41,788.0,177.4004,177.4,177.42,177.42,177.4,1711961460000,24
42,5091.0,177.4908,177.42,177.5,177.5,177.42,1711961520000,66
43,1403.0,177.479,177.43,177.5,177.5,177.43,1711961580000,35
44,9203.0,177.6849,177.55,177.8,177.8,177.55,1711961640000,202
45,1964.0,177.7479,177.75,177.75,177.75,177.73,1711961700000,49
46,12707.0,177.8322,177.73,177.72,177.9,177.72,1711961760000,131
47,1799.0,177.7316,177.77,177.76,177.77,177.7,1711961820000,42
48,1495.0,177.7603,177.77,177.75,177.77,177.74,1711961940000,47
49,1644.0,177.827,177.81,177.8,177.87,177.8,1711962000000,41
50,4267.0,177.7224,177.81,177.7,177.81,177.7,1711962060000,60
51,909.0,177.7108,177.7,177.7,177.7,177.7,1711962120000,32
52,1029.0,177.7761,177.79,177.79,177.79,177.79,1711962180000,44
53,424.0,177.772,177.77,177.77,177.77,177.77,1711962240000,31
54,773.0,177.7707,177.78,177.78,177.78,177.78,1711962300000,41
55,2527.0,177.7563,177.79,177.73,177.79,177.73,1711962360000,99
56,2484.0,177.6826,177.7,177.6,177.7,177.6,1711962420000,77
57,2149.0,177.6135,177.6,177.65,177.65,177.6,1711962480000,43
58,967.0,177.6766,177.65,177.65,177.65,177.65,1711962540000,48
59,849.0,177.6821,177.7,177.7,177.7,177.7,1711962600000,39
60,1204.0,177.6835,177.66,177.7,177.7,177.66,1711962780000,35
61,1435.0,177.7115,177.71,177.72,177.72,177.71,1711962840000,41
62,4475.0,177.7623,177.74,177.76,177.79,177.74,1711962960000,88
63,822.0,177.7366,177.72,177.72,177.72,177.72,1711963140000,43
64,2136.0,177.7273,177.75,177.7,177.75,177.7,1711963200000,46
65,1399.0,177.7065,177.7,177.7,177.7,177.7,1711963260000,46
